,Date,Price
779,2017-02-18,269.35
780,2017-02-19,269.35
781,2017-02-20,269.65
782,2017-02-21,270.7
783,2017-02-22,272.3
784,2017-02-23,270.45
785,2017-02-24,270.45
786,2017-02-25,270.45
787,2017-02-26,270.45
788,2017-02-27,268.25
789,2017-02-28,269.2
790,2017-03-01,271.75
791,2017-03-02,267.3
792,2017-03-03,265.05
793,2017-03-04,265.05
794,2017-03-05,265.05
795,2017-03-06,269.85
796,2017-03-07,267.8
797,2017-03-08,269.9
798,2017-03-09,273.25
799,2017-03-10,272.05
800,2017-03-11,272.05
801,2017-03-12,272.05
802,2017-03-13,272.05
803,2017-03-14,274.65
804,2017-03-15,277.35
805,2017-03-16,279.3
806,2017-03-17,274.15
807,2017-03-18,274.15
808,2017-03-19,274.15
809,2017-03-20,273.9
810,2017-03-21,272.35
811,2017-03-22,267.5
812,2017-03-23,268.5
813,2017-03-24,276.5
814,2017-03-25,276.5
815,2017-03-26,276.5
816,2017-03-27,279.45
817,2017-03-28,282.1
818,2017-03-29,288.45
819,2017-03-30,291.05
820,2017-03-31,293.4
821,2017-04-01,293.4
822,2017-04-02,293.4
823,2017-04-03,293.15
824,2017-04-04,293.15
825,2017-04-05,297.35
826,2017-04-06,292.85
827,2017-04-07,289.45
828,2017-04-08,289.45
829,2017-04-09,289.45
830,2017-04-10,289.35
831,2017-04-11,294.5
832,2017-04-12,290.15
833,2017-04-13,291.55
834,2017-04-14,291.55
835,2017-04-15,291.55
836,2017-04-16,291.55
837,2017-04-17,289.9
838,2017-04-18,290.3
839,2017-04-19,284.05
840,2017-04-20,284.8
841,2017-04-21,282.2
842,2017-04-22,282.2
843,2017-04-23,282.2
844,2017-04-24,286.05
845,2017-04-25,286.05
846,2017-04-26,286.45
847,2017-04-27,282.05
848,2017-04-28,289.75
849,2017-04-29,289.75
850,2017-04-30,289.75
851,2017-05-01,289.75
852,2017-05-02,288.3
853,2017-05-03,289.8
854,2017-05-04,299.05
855,2017-05-05,296.0
856,2017-05-06,296.0
857,2017-05-07,296.0
858,2017-05-08,299.4
859,2017-05-09,296.5
